AeshniOdoHex,AmpMal,AphidaHemHex,AraAra,BelostHemHex,BrachyDipHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CicadeHemHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CuliciDipHex,CurculColHex,DipHex,DytiscColHex,EphydrDipHex,GerridHemHex,GyriniColHex,HaliplColHex,HebridHemHex,HelophColHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,MesoveHemHex,MuscidDipHex,NepidaHemHex,NotoneHemHex,Oli,PhrygaTriHex,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,ScirtiColHex,SminthColHex,SphaerVenBiv,StratiDipHex,TipuliDipHex,VeliidHemHex
1,30,0,0,0,0,0,1,0,0,0,19,0,0,0,0,129,0,0,0,0,0,0,0,2,0,0,1,10,0,1,0,0,0,67,0,0,0,2,0,0,15,90,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,0,34,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,163,0,0,0,0,0,0,54,679,0,1,0,0,0,0,0,0,0
0,63,0,0,0,0,0,9,0,6,0,678,0,9,11,0,39,0,17,0,20,5,0,0,4,1,0,1,1,41,35,5,6,0,305,0,0,0,49,6,0,182,1029,0,443,7,0,0,70,3,0,1
0,3,0,0,0,0,1,2,0,8,0,2018,0,1,66,0,199,0,1,0,6,1,0,0,0,0,0,1,3,19,67,0,1,0,276,0,0,0,35,1,0,82,984,0,34,0,0,0,0,1,0,0
2,6903,0,0,0,0,0,67,0,21,0,1159,0,6,6,0,18,0,0,0,3,52,1,0,13,0,0,8,2,0,67,0,0,0,274,0,0,0,1,0,0,92,136,0,10,0,0,0,0,0,0,1
0,2480,0,1,0,0,0,45,0,7,0,607,0,1,0,0,31,0,0,0,1,15,0,0,6,0,0,2,5,0,22,0,0,0,252,0,0,0,1,0,0,90,476,0,0,0,0,0,0,0,0,0
33,18,0,0,0,0,0,2,0,4,0,18,0,4,0,0,35,0,2,0,8,1,0,0,2,3,0,1,1,11,5,130,0,0,1,0,0,0,10,6,0,16,30,0,7,42,0,0,0,0,0,0
48,71,0,0,0,0,0,8,0,1,0,125,0,14,94,0,586,0,0,0,36,0,0,0,4,1,0,1,22,77,45,2,2,0,7,0,0,0,35,23,0,222,74,0,6,24,0,0,0,0,0,1
4,62,0,0,0,0,0,7,0,22,0,72,0,2,3,0,368,0,0,0,12,0,0,0,3,0,0,11,2,17,26,0,0,0,95,0,0,0,8,23,0,349,1656,0,10,0,0,0,1,0,0,0
22,79,0,0,0,0,1,0,0,13,0,32,0,39,32,0,79,0,6,0,14,0,0,0,5,1,0,1,4,7,12,1,0,0,70,0,0,0,57,1,0,195,65,0,254,2,0,0,0,0,0,1
